time,CloudTS_cpu,Cortex_cpu,CloudTS_mem,Cortex_mem
1,0.00267,0.00246,0.00262,0.00323
2,0.00269,0.00418,0.00259,0.00406
3,0.00279,0.00275,0.00309,0.00531
4,0.00256,0.00378,0.00253,0.00432
5,0.00268,0.0042,0.00272,0.00419
6,0.00284,0.00419,0.00285,0.00428
7,0.00256,0.00337,0.00267,0.00337
8,0.00267,0.00325,0.00271,0.00281
9,0.0027,0.00285,0.00268,0.00417
10,0.00269,0.00347,0.00271,0.00347
11,0.00274,0.00461,0.0027,0.00317
12,0.00291,0.00345,0.00283,0.00422
13,0.0028,0.00566,0.00266,0.0039
14,0.0026,0.00388,0.00257,0.00447
15,0.00272,0.0037,0.00268,0.00424
16,0.00282,0.00379,0.00266,0.00345
17,0.00281,0.00341,0.00251,0.00344
18,0.00292,0.00323,0.00291,0.00284
19,0.00271,0.00419,0.00293,0.00263
20,0.00271,0.00348,0.00278,0.00349
21,0.00261,0.00368,0.00288,0.00384
22,0.00294,0.00356,0.00309,0.00415
23,0.00288,0.00354,0.00274,0.00522
24,0.00276,0.00435,0.00266,0.004
25,0.00274,0.0042,0.00266,0.00412
26,0.00277,0.00342,0.00275,0.00363
27,0.0031,0.00348,0.00307,0.00346
28,0.00245,0.00266,0.00287,0.00261
29,0.00268,0.00327,0.0029,0.00302
30,0.00276,0.00346,0.00277,0.00342
31,0.00271,0.00328,0.00267,0.00372
32,0.00278,0.00424,0.003,0.00363
33,0.00269,0.00274,0.00263,0.00479
34,0.00259,0.00415,0.00283,0.00403
35,0.00267,0.00381,0.00256,0.0037
36,0.00263,0.00348,0.00265,0.0034
37,0.0025,0.00343,0.00263,0.00345
38,0.00261,0.00482,0.00268,0.00445
39,0.00275,0.00251,0.00281,0.00256
40,0.00281,0.00341,0.00278,0.00348
41,0.00265,0.00248,0.00289,0.00259
42,0.00292,0.00412,0.00265,0.0043
43,0.00281,0.00554,0.00266,0.00532
44,0.00261,0.0037,0.00272,0.0036
45,0.00273,0.00385,0.00274,0.00426
46,0.00284,0.0037,0.00275,0.00421
47,0.00263,0.00339,0.00255,0.00344
48,0.00252,0.00333,0.00269,0.00411
49,0.00284,0.00342,0.00295,0.00299
50,0.00258,0.00337,0.00271,0.00347
51,0.00289,0.00309,0.00291,0.00462
52,0.00319,0.00374,0.00282,0.00424
53,0.00283,0.00432,0.00277,0.00306
54,0.00278,0.00378,0.00271,0.00412
