time,Cortex,CloudTS
1,0.15092,0.11254
2,0.16043,0.1399
3,0.16336,0.10125
4,0.15162,0.11409
5,0.15257,0.0988
6,0.144,0.10725
7,0.16822,0.12334
8,0.14282,0.12044
9,0.14871,0.10399
10,0.17472,0.11277
11,0.15669,0.11872
12,0.14935,0.14073
13,0.15137,0.09533
14,0.16097,0.0974
15,0.16085,0.11728
16,0.15538,0.10626
17,0.16224,0.11785
18,0.14467,0.0996
19,0.15727,0.0983
20,0.17835,0.10031
21,0.15729,0.11827
22,0.14446,0.10706
23,0.14936,0.09755
24,0.16136,0.10465
25,0.15105,0.10223
26,0.15372,0.11558
27,0.16553,0.13161
28,0.14936,0.1159
29,0.14271,0.10041
30,0.16372,0.11502
31,0.15857,0.10107
32,0.14423,0.09694
33,0.15969,0.09265
34,0.16541,0.11798
35,0.16804,0.12397
36,0.15561,0.09674
37,0.15905,0.12011
38,0.15233,0.12079
39,0.1597,0.09703
40,0.15594,0.1047
41,0.15277,0.11405
42,0.1551,0.09514
43,0.16376,0.09802
44,0.16489,0.11761
45,0.16937,0.12429
46,0.15726,0.09436
47,0.17025,0.12248
48,0.16495,0.09192
49,0.16086,0.10351
50,0.14549,0.12322
51,0.15098,0.11363
52,0.14787,0.10526
53,0.16702,0.09335
54,0.15838,0.11374
55,0.16478,0.1351
56,0.15361,0.10155
57,0.16351,0.10487
58,0.15591,0.11859
59,0.15984,0.1005
60,0.1618,0.10553
61,0.15515,0.10667
62,0.1417,0.12085
63,0.15715,0.09887
64,0.16262,0.10666
65,0.17126,0.10252
66,0.1478,0.11236
67,0.16242,0.10249
68,0.16426,0.12074
69,0.14125,0.09775
70,0.16458,0.11257
71,0.16023,0.10731
72,0.14607,0.11828
73,0.15596,0.09824
74,0.16171,0.09881
75,0.16755,0.10129
76,0.14251,0.11964
77,0.15918,0.12429
78,0.15068,0.09399
79,0.15238,0.09858
80,0.16347,0.10959
81,0.15834,0.10944
82,0.14575,0.1313
83,0.1607,0.09808
84,0.15578,0.09122
85,0.16563,0.12988
86,0.15759,0.10691
87,0.16649,0.13539
88,0.1598,0.11298
89,0.15751,0.10209
90,0.15567,0.12025
91,0.15221,0.12014
92,0.14711,0.0978
93,0.16062,0.09899
94,0.16105,0.10904
95,0.16247,0.11652
96,0.15548,0.10575
97,0.17162,0.11952
98,0.14415,0.10944
99,0.14828,0.10009
100,0.17735,0.11913
101,0.14931,0.10775
102,0.14445,0.10366
103,0.16944,0.09881
104,0.15836,0.11005
105,0.15655,0.11447
106,0.16191,0.11718
107,0.1584,0.1082
108,0.14903,0.09197
109,0.16102,0.09416
110,0.15609,0.10181
111,0.15535,0.10085
112,0.15967,0.13375
113,0.14386,0.10009
114,0.15494,0.11132
115,0.15047,0.10742
116,0.1527,0.11815
117,0.16255,0.10797
118,0.1528,0.0929
119,0.16087,0.09928
120,0.1495,0.11704
121,0.15424,0.10968
122,0.15555,0.12936
123,0.15672,0.1004
124,0.16296,0.12251
125,0.15306,0.09746
